Id,Result,Source,Output
"E01","Skipped: already uses FBX","Assets/CompanyWarRE/Content/Prefabs/Enemies/PF_E01.prefab",""
"E02","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E02.prefab",""
"E03","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E03.prefab",""
"E04","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E04.prefab",""
"E05","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E05.prefab",""
"E06","Skipped: already uses FBX","Assets/CompanyWarRE/Content/Prefabs/Units/Buildings/PF_E06.prefab",""
"E07","Skipped: already uses FBX","Assets/CompanyWarRE/Content/Prefabs/Units/Buildings/PF_E07.prefab",""
"E08","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E08.prefab",""
"E09","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E09.prefab",""
"E10","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E10.prefab",""
"E11","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E11.prefab",""
"E12","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E12.prefab",""
"E13","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E13.prefab",""
"E14","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E14.prefab",""
"E15","Skipped: already uses FBX","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E15.prefab",""
"U01","Exported","Assets/CompanyWarRE/Content/Prefabs/Units/PF_U01.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U01.fbx"
"U02","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U02.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U02.fbx"
"U03","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U03.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U03.fbx"
"U04","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U04.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U04.fbx"
"U05","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U05.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U05.fbx"
"U06","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U06.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U06.fbx"
"U07","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U07.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U07.fbx"
"U08","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U08.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U08.fbx"
"U09","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U09.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U09.fbx"
"U10","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U10.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U10.fbx"
"U11","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U11.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U11.fbx"
"U12","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U12.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U12.fbx"
"U13","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U13.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U13.fbx"
"U14","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U14.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U14.fbx"
"U15","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U15.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U15.fbx"
"U16","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U16.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U16.fbx"
"U17","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U17.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U17.fbx"
"U18","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U18.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U18.fbx"
"U19","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U19.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U19.fbx"
"U20","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U20.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U20.fbx"
"U21","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_U21.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U21.fbx"
"U22","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U22.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U22.fbx"
"U23","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U23.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U23.fbx"
"U24","Exported","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U24.prefab","D:\UNITY\Company War-RE\Exports\BattleModels_FBX\Units\U24.fbx"
