"LegacySource","LegacyType","LegacyDefault","CurrentPath","Transform","Classification"
"CompanyWar.LastLevel","PlayerPrefs string","L00","Campaign.ActiveLevelId","Match against caller-provided target level order; unknown value maps to first target level with warning","Cow-compatible"
"CompanyWar.LastLevel","PlayerPrefs string","L00","Campaign.Levels[].Unlocked","Unlock target levels through the highest reached target index","Cow-compatible derived field"
"CompanyWar.LevelStars.{LevelId}","PlayerPrefs int","0","Campaign.Levels[].Stars","Clamp to 0..3 with warning","Cow-compatible"
"CompanyWar.LevelStars.{LevelId}","PlayerPrefs int","0","Campaign.Levels[].Completed","Stars greater than zero imply a recorded victory","Cow-compatible derived field"
"Audio_Master_Volume","PlayerPrefs float","1.0","Settings.AudioLayers[Master].Volume","Clamp to 0..1 with warning","Cow-compatible"
"Audio_BGM_Volume","PlayerPrefs float","1.0","Settings.AudioLayers[BGM].Volume","Clamp to 0..1 with warning","Cow-compatible"
"Audio_SFX_Volume","PlayerPrefs float","1.0","Settings.AudioLayers[SFX].Volume","Clamp to 0..1 with warning","Cow-compatible"
"Audio_UI_Volume","PlayerPrefs float","1.0","Settings.AudioLayers[UI].Volume","Clamp to 0..1 with warning","Cow-compatible"
"Audio_Voice_Volume","PlayerPrefs float","1.0","Settings.AudioLayers[Voice].Volume","Clamp to 0..1 with warning","Cow-compatible"
"Audio_{Layer}_Mute","PlayerPrefs int","0","Settings.AudioLayers[{Layer}].Muted","Only integer 1 maps to true","Cow-compatible"
"No Cow field","n/a","0","Growth.AuthorizationPoints","v1 to v2 safe default","Target-new; not legacy compatibility"
"No Cow field","n/a","empty","Growth.DeploymentUnitIds","v1 to v2 safe default","Target-new; not legacy compatibility"
"No Cow field","n/a","0","Economy.Resources","v2 to v3 safe default","Target-new; not legacy compatibility"
"No Cow field","n/a","0","Economy.Score","v2 to v3 safe default","Target-new; not legacy compatibility"
