"Project","Package","RequestedVersion","ResolvedVersion","Depth","Source"
"Company War-RE","com.unity.collab-proxy","2.12.4","2.12.4","0","Packages/manifest.json"
"Company War-RE","com.unity.ide.rider","3.0.36","3.0.36","0","Packages/manifest.json"
"Company War-RE","com.unity.ide.visualstudio","2.0.22","2.0.22","0","Packages/manifest.json"
"Company War-RE","com.unity.ide.vscode","1.2.5","1.2.5","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.ai","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.androidjni","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.animation","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.assetbundle","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.audio","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.cloth","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.director","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.imageconversion","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.imgui","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.jsonserialize","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.particlesystem","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.physics","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.physics2d","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.screencapture","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.terrain","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.terrainphysics","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.tilemap","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.ui","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.uielements","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.umbra","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.unityanalytics","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.unitywebrequest","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.unitywebrequestassetbundle","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.unitywebrequestaudio","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.unitywebrequesttexture","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.unitywebrequestwww","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.vehicles","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.video","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.vr","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.wind","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.modules.xr","1.0.0","1.0.0","0","Packages/manifest.json"
"Company War-RE","com.unity.render-pipelines.universal","14.0.12","14.0.12","0","Packages/manifest.json"
"Company War-RE","com.unity.test-framework","1.1.33","1.1.33","0","Packages/manifest.json"
"Company War-RE","com.unity.textmeshpro","3.0.7","3.0.7","0","Packages/manifest.json"
"Company War-RE","com.unity.timeline","1.7.7","1.7.7","0","Packages/manifest.json"
"Company War-RE","com.unity.ugui","1.0.0","1.0.0","0","Packages/manifest.json"
