"Script","Line","Evidence"
"Assets/_Game/Editor/JsonValidatorWindow.cs","146","if (!File.Exists(path))"
"Assets/_Game/Editor/JsonValidatorWindow.cs","154","var wrapper = JsonUtility.FromJson<UnitsWrapper>(File.ReadAllText(path));"
"Assets/_Game/Editor/JsonValidatorWindow.cs","214","if (!File.Exists(path))"
"Assets/_Game/Editor/JsonValidatorWindow.cs","222","var wrapper = JsonUtility.FromJson<EnemiesWrapper>(File.ReadAllText(path));"
"Assets/_Game/Editor/JsonValidatorWindow.cs","279","if (!File.Exists(path))"
"Assets/_Game/Editor/JsonValidatorWindow.cs","287","var wrapper = JsonUtility.FromJson<SpawnSchedulesWrapper>(File.ReadAllText(path));"
"Assets/_Game/Editor/JsonValidatorWindow.cs","392","var config = JsonUtility.FromJson<LevelConfigDef>(File.ReadAllText(path));"
"Assets/_Game/Editor/JsonValidatorWindow.cs","451","if (File.Exists(source) || Directory.Exists(source)) return source;"
"Assets/_Game/Editor/JsonValidatorWindow.cs","467","if (!Directory.Exists(directory)) return;"
"Assets/_Game/Editor/JsonValidatorWindow.cs","468","foreach (var file in Directory.GetFiles(directory, ""*.json"", SearchOption.TopDirectoryOnly))"
"Assets/_Game/Editor/JsonValidatorWindow.cs","484","if (!File.Exists(path))"
"Assets/_Game/Editor/JsonValidatorWindow.cs","594","if (!File.Exists(path)) return Array.Empty<string>();"
"Assets/_Game/Editor/JsonValidatorWindow.cs","598","var wrapper = JsonUtility.FromJson<EnemiesWrapper>(File.ReadAllText(path));"
"Assets/_Game/Editor/JsonValidatorWindow.cs","611","if (!File.Exists(path)) return Array.Empty<string>();"
"Assets/_Game/Editor/JsonValidatorWindow.cs","614","var wrapper = JsonUtility.FromJson<UnitsWrapper>(File.ReadAllText(path));"
"Assets/_Game/Editor/JsonValidatorWindow.cs","627","if (!File.Exists(path)) return Array.Empty<string>();"
"Assets/_Game/Editor/JsonValidatorWindow.cs","631","var wrapper = JsonUtility.FromJson<SpawnSchedulesWrapper>(File.ReadAllText(path));"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","163","if (!Directory.Exists(directory)) return;"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","164","foreach (var file in Directory.GetFiles(directory, ""*.json"", SearchOption.TopDirectoryOnly))"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","172","var projectRoot = Directory.GetParent(Application.dataPath)?.FullName ?? Application.dataPath;"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","178","var projectRoot = Directory.GetParent(Application.dataPath)?.FullName ?? Application.dataPath;"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","576","var json = JsonUtility.ToJson(config, prettyPrint: true);"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","578","if (!Directory.Exists(directory))"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","580","Directory.CreateDirectory(directory);"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","584","File.WriteAllText(path, json);"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","601","var json = File.ReadAllText(path);"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","602","var config = JsonUtility.FromJson<LevelConfigDef>(json);"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","623","if (!File.Exists(path))"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","627","if (!File.Exists(path))"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","633","var json = File.ReadAllText(path);"
"Assets/_Game/Editor/LevelGridEditorWindow.cs","634","var config = JsonUtility.FromJson<LevelConfigDef>(json);"
"Assets/_Game/Editor/PrefabMaterialGeneratorWindow.cs","89","Directory.CreateDirectory(_outputPrefabPath + ""Units/"");"
