"AssetPath","ArtifactType","GameObject","ScriptGuid","OldType","ScriptPath","SerializedFields","TargetComponent","PreservationRule","Resolution"
"Assets/_Game/Scripts/UI/BattlePanel.prefab","Prefab","BattlePanel","642b2c2954fd5574fa229fca7cac5ac4","BattlePanel","Assets/_Game/Scripts/UI/BattlePanel.cs","resourceText;scoreText;Victory;Fail;MenuButton;MenuPanelPrefab","Compatibility panel -> UIKit panel/presenter","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/BattlePanel.prefab","Prefab","BattlePanel","fe87c0e1cc204ed48ad3b37840f39efc","Image","Library/PackageCache/com.unity.ugui@1.0.0/Runtime/UI/Core/Image.cs","m_Material;m_Color;m_RaycastTarget;m_RaycastPadding;m_Maskable;m_OnCullStateChanged;m_Sprite;m_Type;m_PreserveAspect;m_FillCenter;m_FillMethod;m_FillAmount;m_FillClockwise;m_FillOrigin;m_UseSpriteMesh;m_PixelsPerUnitMultiplier","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/BattlePanel.prefab","Prefab","Menu1","4e29b1a8efbd4b44bb3f3716e73f07ff","Button","Library/PackageCache/com.unity.ugui@1.0.0/Runtime/UI/Core/Button.cs","m_Navigation;m_Transition;m_Colors;m_SpriteState;m_AnimationTriggers;m_Interactable;m_TargetGraphic;m_OnClick","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/BattlePanel.prefab","Prefab","Menu1","fe87c0e1cc204ed48ad3b37840f39efc","Image","Library/PackageCache/com.unity.ugui@1.0.0/Runtime/UI/Core/Image.cs","m_Material;m_Color;m_RaycastTarget;m_RaycastPadding;m_Maskable;m_OnCullStateChanged;m_Sprite;m_Type;m_PreserveAspect;m_FillCenter;m_FillMethod;m_FillAmount;m_FillClockwise;m_FillOrigin;m_UseSpriteMesh;m_PixelsPerUnitMultiplier","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/BattlePanel.prefab","Prefab","ResourceText","f4688fdb7df04437aeb418b961361dc5","TextMeshProUGUI","Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TextMeshProUGUI.cs","m_Material;m_Color;m_RaycastTarget;m_RaycastPadding;m_Maskable;m_OnCullStateChanged;m_text;m_isRightToLeft;m_fontAsset;m_sharedMaterial;m_fontSharedMaterials;m_fontMaterial;m_fontMaterials;m_fontColor32;m_fontColor;m_enableVertexGradient;m_colorMode;m_fontColorGradient;m_fontColorGradientPreset;m_spriteAsset;m_tintAllSprites;m_StyleSheet;m_TextStyleHashCode;m_overrideHtmlColors;m_faceColor;m_fontSize;m_fontSizeBase;m_fontWeight;m_enableAutoSizing;m_fontSizeMin;m_fontSizeMax;m_fontStyle;m_HorizontalAlignment;m_VerticalAlignment;m_textAlignment;m_characterSpacing;m_wordSpacing;m_lineSpacing;m_lineSpacingMax;m_paragraphSpacing;m_charWidthMaxAdj;m_enableWordWrapping;m_wordWrappingRatios;m_overflowMode;m_linkedTextComponent;parentLinkedComponent;m_enableKerning;m_enableExtraPadding;checkPaddingRequired;m_isRichText;m_parseCtrlCharacters;m_isOrthographic;m_isCullingEnabled;m_horizontalMapping;m_verticalMapping;m_uvLineOffset;m_geometrySortingOrder;m_IsTextObjectScaleStatic;m_VertexBufferAutoSizeReduction;m_useMaxVisibleDescender;m_pageToDisplay;m_margin;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_hasFontAssetChanged;m_baseMaterial;m_maskOffset","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/BattlePanel.prefab","Prefab","ScoreText","f4688fdb7df04437aeb418b961361dc5","TextMeshProUGUI","Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TextMeshProUGUI.cs","m_Material;m_Color;m_RaycastTarget;m_RaycastPadding;m_Maskable;m_OnCullStateChanged;m_text;m_isRightToLeft;m_fontAsset;m_sharedMaterial;m_fontSharedMaterials;m_fontMaterial;m_fontMaterials;m_fontColor32;m_fontColor;m_enableVertexGradient;m_colorMode;m_fontColorGradient;m_fontColorGradientPreset;m_spriteAsset;m_tintAllSprites;m_StyleSheet;m_TextStyleHashCode;m_overrideHtmlColors;m_faceColor;m_fontSize;m_fontSizeBase;m_fontWeight;m_enableAutoSizing;m_fontSizeMin;m_fontSizeMax;m_fontStyle;m_HorizontalAlignment;m_VerticalAlignment;m_textAlignment;m_characterSpacing;m_wordSpacing;m_lineSpacing;m_lineSpacingMax;m_paragraphSpacing;m_charWidthMaxAdj;m_enableWordWrapping;m_wordWrappingRatios;m_overflowMode;m_linkedTextComponent;parentLinkedComponent;m_enableKerning;m_enableExtraPadding;checkPaddingRequired;m_isRichText;m_parseCtrlCharacters;m_isOrthographic;m_isCullingEnabled;m_horizontalMapping;m_verticalMapping;m_uvLineOffset;m_geometrySortingOrder;m_IsTextObjectScaleStatic;m_VertexBufferAutoSizeReduction;m_useMaxVisibleDescender;m_pageToDisplay;m_margin;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_hasFontAssetChanged;m_baseMaterial;m_maskOffset","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/BattlePanel.prefab","Prefab","Text (TMP)","f4688fdb7df04437aeb418b961361dc5","TextMeshProUGUI","Library/PackageCache/com.unity.textmeshpro@3.0.6/Scripts/Runtime/TextMeshProUGUI.cs","m_Material;m_Color;m_RaycastTarget;m_RaycastPadding;m_Maskable;m_OnCullStateChanged;m_text;m_isRightToLeft;m_fontAsset;m_sharedMaterial;m_fontSharedMaterials;m_fontMaterial;m_fontMaterials;m_fontColor32;m_fontColor;m_enableVertexGradient;m_colorMode;m_fontColorGradient;m_fontColorGradientPreset;m_spriteAsset;m_tintAllSprites;m_StyleSheet;m_TextStyleHashCode;m_overrideHtmlColors;m_faceColor;m_fontSize;m_fontSizeBase;m_fontWeight;m_enableAutoSizing;m_fontSizeMin;m_fontSizeMax;m_fontStyle;m_HorizontalAlignment;m_VerticalAlignment;m_textAlignment;m_characterSpacing;m_wordSpacing;m_lineSpacing;m_lineSpacingMax;m_paragraphSpacing;m_charWidthMaxAdj;m_enableWordWrapping;m_wordWrappingRatios;m_overflowMode;m_linkedTextComponent;parentLinkedComponent;m_enableKerning;m_enableExtraPadding;checkPaddingRequired;m_isRichText;m_parseCtrlCharacters;m_isOrthographic;m_isCullingEnabled;m_horizontalMapping;m_verticalMapping;m_uvLineOffset;m_geometrySortingOrder;m_IsTextObjectScaleStatic;m_VertexBufferAutoSizeReduction;m_useMaxVisibleDescender;m_pageToDisplay;m_margin;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_hasFontAssetChanged;m_baseMaterial;m_maskOffset","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/LevelSelectPanel.prefab","Prefab","Level1Button","4e29b1a8efbd4b44bb3f3716e73f07ff","Button","Library/PackageCache/com.unity.ugui@1.0.0/Runtime/UI/Core/Button.cs","m_Navigation;m_Transition;m_Colors;m_SpriteState;m_AnimationTriggers;m_Interactable;m_TargetGraphic;m_OnClick","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/LevelSelectPanel.prefab","Prefab","Level1Button","fe87c0e1cc204ed48ad3b37840f39efc","Image","Library/PackageCache/com.unity.ugui@1.0.0/Runtime/UI/Core/Image.cs","m_Material;m_Color;m_RaycastTarget;m_RaycastPadding;m_Maskable;m_OnCullStateChanged;m_Sprite;m_Type;m_PreserveAspect;m_FillCenter;m_FillMethod;m_FillAmount;m_FillClockwise;m_FillOrigin;m_UseSpriteMesh;m_PixelsPerUnitMultiplier","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
"Assets/_Game/Scripts/UI/LevelSelectPanel.prefab","Prefab","Level1Button (1)","4e29b1a8efbd4b44bb3f3716e73f07ff","Button","Library/PackageCache/com.unity.ugui@1.0.0/Runtime/UI/Core/Button.cs","m_Navigation;m_Transition;m_Colors;m_SpriteState;m_AnimationTriggers;m_Interactable;m_TargetGraphic;m_OnClick","Preserve GUID/type until explicit component mapping is approved","Preserve original .cs.meta when possible; use MovedFrom/FormerlySerializedAs or an exact-field compatibility shim; Missing Script prohibited","Resolved"
