"TemplateId","Kind","PrefabGuid","PrefabSourcePath","MaterialGuid","MaterialSourcePath","ModelGuid","ModelSourcePath","TargetStatus","Notes"
"U01","Unit","8800a5eda99ca9148b0e9a94258025eb","Assets/_Game/Art/Prefabs/Units/PF_U01.prefab","17b34ab7ec0f811408ec679715b1f948","Assets/_Game/Art/Materials/Mat_U01.mat","25cebf529e493fb4ebbedd04c000cf1f","Assets/_Game/Art/Prefabs/Units/U01.obj","ImportedBatch01",""
"U02","Unit","b337aa8f349904044840f69c1a45381a","Assets/_Game/Art/Prefabs/Units/PF_U02.prefab","438f0d08aa1f62c4686e02c63d384a11","Assets/_Game/Art/Materials/Mat_U02.mat","1d3a741350556a14b8ce58a47ac0b753","Assets/_Game/Art/Prefabs/Units/U02.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U03","Unit","0513702e28a05264db5ec83c66225dc1","Assets/_Game/Art/Prefabs/Units/PF_U03.prefab","6793e13dbe221bf429465870727968c4","Assets/_Game/Art/Materials/Mat_U03.mat","d0d429f503dd95540b94ee654f23d0ba","Assets/_Game/Art/Prefabs/Units/U03.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U04","Unit","d455cf7412b52fb44b3843bd3b7c080f","Assets/_Game/Art/Prefabs/Units/PF_U04.prefab","1493adaf1f830864e8af4a3a43b3a985","Assets/_Game/Art/Materials/Mat_U04.mat","404a97aaf469a1f4b9eccb0db0408214","Assets/_Game/Art/Prefabs/Units/U04.prefab","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U05","Unit","bffb32eade7bbba40a4d3b8dd0bdce3a","Assets/_Game/Art/Prefabs/Units/PF_U05.prefab","48a6d779e006b0a4fa141441db99d119","Assets/_Game/Art/Materials/Mat_U05.mat","0072f10d593240f4b9e5a95df5d67782","Assets/_Game/Art/Prefabs/Units/U05.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U06","Unit","3540735a2f9e7cd468bad9b32dbdcf69","Assets/_Game/Art/Prefabs/Units/PF_U06.prefab","fb0604fa3d16917498aeb02a486307d1","Assets/_Game/Art/Materials/Mat_U06.mat","dc6cc7d1acb09834897d392cd8f30230","Assets/_Game/Art/Prefabs/Units/U06.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U07","Unit","f1f5c25dff9208e4089633b0e97b15fc","Assets/_Game/Art/Prefabs/Units/PF_U07.prefab","bbf650704adc8aa40bbd817142700a02","Assets/_Game/Art/Materials/Mat_U07.mat","d9160e0a4fe112e4e9e53ef1f370cf2a","Assets/_Game/Art/Prefabs/Units/U07.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U08","Unit","ee7ac5a833270d446ae6c3787e444708","Assets/_Game/Art/Prefabs/Buildings/PF_U08.prefab","5d8270a19d0c3ba49a2cb64251d3873f","Assets/_Game/Art/Materials/Mat_U08.mat","828186805e580b842964ac00688ea37f","Assets/_Game/Art/Prefabs/Units/U08.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U09","Unit","6845248e04083fd42b808f80be8c3fe3","Assets/_Game/Art/Prefabs/Buildings/PF_U09.prefab","d191714826e7cfd4ea54b1c71a144c74","Assets/_Game/Art/Materials/Mat_U09.mat","507f12b34b19dde4eacb407c78f6dd8d","Assets/_Game/Art/Prefabs/Units/U09.obj","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
"U10","Unit","5fa9b6c8177baab4ab16f8559880f134","Assets/_Game/Art/Prefabs/Buildings/PF_U10.prefab","d8f8773c839b51a47a9efdcaed2abd5e","Assets/_Game/Art/Materials/Mat_U10.mat","5fa9b6c8177baab4ab16f8559880f134","Assets/_Game/Art/Prefabs/Buildings/PF_U10.prefab","ImportedBatch05","Resolved through CowLegacy prefab compatibility fallback"
