Id,Result,Prefab,Model
"E01","Replaced","Assets/CompanyWarRE/Content/Prefabs/Enemies/PF_E01.prefab","Assets/CompanyWarRE/Resources/NewFbx/e01.fbx"
"E02","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E02.prefab",""
"E03","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E03.prefab",""
"E04","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E04.prefab",""
"E05","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E05.prefab",""
"E06","Replaced","Assets/CompanyWarRE/Content/Prefabs/Units/Buildings/PF_E06.prefab","Assets/CompanyWarRE/Resources/NewFbx/e06.fbx"
"E07","Replaced","Assets/CompanyWarRE/Content/Prefabs/Units/Buildings/PF_E07.prefab","Assets/CompanyWarRE/Resources/NewFbx/e07.fbx"
"E08","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E08.prefab",""
"E09","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E09.prefab",""
"E10","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E10.prefab",""
"E11","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Enemies/PF_E11.prefab",""
"E12","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E12.prefab",""
"E13","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E13.prefab",""
"E14","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E14.prefab",""
"E15","Skipped: same-name NewFbx model missing","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Buildings/PF_E15.prefab",""
"U01","Replaced","Assets/CompanyWarRE/Content/Prefabs/Units/PF_U01.prefab","Assets/CompanyWarRE/Resources/NewFbx/u01.fbx"
"U02","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U02.prefab","Assets/CompanyWarRE/Resources/NewFbx/u02.fbx"
"U03","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U03.prefab","Assets/CompanyWarRE/Resources/NewFbx/u03.fbx"
"U04","Replaced","Assets/CompanyWarRE/Resources/CowLegacy/_Game/Art/Prefabs/Units/PF_U04.prefab","Assets/CompanyWarRE/Resources/NewFbx/u04.fbx"
