"Source","LegacyField","LegacyDtoField","Target","Rule","Status"
"Units.json","Units","LegacyUnitsDocumentDto.Units","validated unit collection","Required; non-empty; IDs unique case-insensitively","Implemented"
"Units.json","Units[].Id","LegacyUnitDto.Id","UnitDefinition.Id","Preserve exact value; required","Implemented"
"Units.json","Units[].Name","LegacyUnitDto.Name","Presentation/config metadata","Preserve in DTO; Domain mapping deferred","DTO-Only"
"Units.json","Units[].Type","LegacyUnitDto.Type","UnitDefinition.DeploymentMode","Staff->StandardUnit; Building->Building; Support->SupportEffect or TerrainBuild","Implemented"
"Units.json","Units[].Durability","LegacyUnitDto.Durability","future combat definition","Preserve in DTO; Domain combat mapping deferred","DTO-Only"
"Units.json","Units[].Attack","LegacyUnitDto.Attack","future combat definition","Preserve in DTO; Domain combat mapping deferred","DTO-Only"
"Units.json","Units[].Speed","LegacyUnitDto.Speed","future movement definition","Preserve in DTO; Domain movement mapping deferred","DTO-Only"
"Units.json","Units[].AttackInterval","LegacyUnitDto.AttackInterval","future combat definition","Preserve in DTO; Domain combat mapping deferred","DTO-Only"
"Units.json","Units[].Range","LegacyUnitDto.Range","future combat definition","Preserve in DTO; Domain combat mapping deferred","DTO-Only"
"Units.json","Units[].ResourceCost","LegacyUnitDto.ResourceCost","UnitDefinition.ResourceCost","Direct mapping; non-negative","Implemented"
"Units.json","Units[].DeployCooldown","LegacyUnitDto.DeployCooldown","UnitDefinition.DeploymentCooldownSeconds","Direct mapping in seconds; non-negative","Implemented"
"Units.json","Units[].Effect","LegacyUnitDto.Effect","UnitDefinition.DeploymentMode","TerrainBuild special mapping; other effects retained for later behavior mapping","Partial"
"Units.json","Units[].ResourceRate","LegacyUnitDto.ResourceRate","future transmitter definition","Preserve in DTO; mapping deferred","DTO-Only"
"Units.json","Units[].ScoreRate","LegacyUnitDto.ScoreRate","future authorization definition","Preserve in DTO; mapping deferred","DTO-Only"
"Units.json","Units[].CanDeployOutside","LegacyUnitDto.CanDeployOutside","future deployment policy","Preserve in DTO; mapping deferred","DTO-Only"
"Units.json","Units[].FootprintType","LegacyUnitDto.FootprintType","UnitDefinition.Footprint","Missing/SmallCell->SmallCell; ControlBlock->ControlBlock","Implemented"
"Units.json","Units[].FootprintSize","LegacyUnitDto.FootprintSize","future footprint dimensions","Preserve in DTO; mapping deferred","DTO-Only"
"Units.json","Units[].VisualScale","LegacyUnitDto.VisualScale","Presentation metadata","Preserve in DTO; mapping deferred","DTO-Only"
"Units.json","Units[].BlockMovement","LegacyUnitDto.BlockMovement","future occupancy policy","Preserve in DTO; mapping deferred","DTO-Only"
"Units.json","Units[].BlockDeployment","LegacyUnitDto.BlockDeployment","future occupancy policy","Preserve in DTO; mapping deferred","DTO-Only"
"Prototype runtime code","SetupInitial(10)","BattleSliceSettingsDto.InitialResources","BattleSliceConfiguration.InitialResources","Explicit compatibility setting; not a Units.json field","Implemented-TestSlice"
"Prototype runtime code","SetupRates(5,3)","BattleSliceSettingsDto.FixedProductionIntervalSeconds;TransmitterProductionIntervalSeconds","BattleSliceConfiguration production intervals","Explicit compatibility settings; not Units.json fields","Implemented-TestSlice"
"Target test composition","SchemaVersion","BattleSliceSettingsDto.SchemaVersion","compatibility contract version","Must equal 1","Implemented"
