"RelativePath","SHA256","Bytes","Purpose"
"Assets/_Game/Scripts/Logic/Core/Domain/GridMap.cs","49a17115b63bfd79b03dc215cf347bfbb959eecb6566d3fc7ce595fd7f19c884","28658","Grid and pollution behavior"
"Assets/_Game/Scripts/Logic/Core/Domain/ResourceEngine.cs","7a85bbac2be2fdfd8b4e6869fd897804fa66506446b56f1e9509d613feb666b5","8020","Resource production, spending, cooldown"
"Assets/_Game/Scripts/Logic/Core/Domain/DeploymentRules.cs","c1d39503eb414a5ae40af8d5390c702ac0cfa0a889d7cfc8bff6ab22f18a7866","7444","Deployment validation"
"Assets/_Game/Scripts/Logic/Core/Domain/AuthorizationEngine.cs","ef96a877a03b23d65f527ee62b831039067213d9e6421107e048394bcf67f116","23187","Authorization progression"
"Assets/_Game/Scripts/Logic/Core/Domain/BattleEngine.cs","1e9fcd05b219df4f7f546c19b57b497944df77ef41e184bd5c117885e00b08c6","69514","Battle outcome behavior"
"Assets/_Game/Scripts/Configs/ConfigModels.cs","1395fcb2cb1c491da8c86a610bcd4ad8a9d6ee871df895e84b575700882e9016","12336","Legacy configuration shape"
"Assets/_Game/Tests/Cases/CW_UNIT_0101_GridMap.cs","6955636148fb1783f0179a4e29b9fc4f76618e1a4b9fd7e6272fc48d8b9117cc","2021","Conflicting pollution characterization"
"Assets/_Game/Tests/Cases/CW_UNIT_0106_ResourceEngine.cs","5129c864b7908010d37bf662cbc9c12185c8389cf84321d57c5a970f85ad8321","1811","Resource characterization"
"Assets/_Game/Tests/Cases/CW_Core_02_AuthorizationUnlockTests.cs","8ca52cc9e4846bcf352f6ae295ee517a074fe870684b577db81159b9194e70df","4605","Authorization characterization"
"Assets/_Game/Tests/Cases/CW0403_BoundaryAndErrorHandling.cs","3248cc1ee28f59e41afe349021ca2a609aa1d3ceeff42f2f9c005cbee9dac050","13494","Boundary behavior"
"Assets/StreamingAssets/CompanyWar/Configs/Units.json","8c156a406d6e54e551745ebd6bd2451efd38bfc575120d7c9d641b0cd3a696db","6516","Legacy unit configuration schema and U01 values"
